id	count	name	formula
BPH	96	BACTERIOPHEOPHYTIN A	C55 H76 N4 O6
BTN	96	BIOTIN	C10 H16 N2 O3 S
CS	95	CESIUM ION	CS 1
DCP	95	2'-DEOXYCYTIDINE-5'-TRIPHOSPHATE	C9 H16 N3 O13 P3
AGS	93	PHOSPHOTHIOPHOSPHORIC ACID-ADENYLATE ESTER	C10 H16 N5 O12 P3 S
2PE	93	NONAETHYLENE GLYCOL	C18 H38 O10
TAR	93	D(-)-TARTARIC ACID	C4 H6 O6
DOD	92	DEUTERATED WATER	D2 O
CMP	90	ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE	C10 H12 N5 O6 P
PT	88	PLATINUM (II) ION	PT 2
NGA	86	N-ACETYL-D-GALACTOSAMINE	C8 H15 N O6
CTP	86	CYTIDINE-5'-TRIPHOSPHATE	C9 H16 N3 O14 P3
OMU	85	O2'-METHYLURIDINE 5'-MONOPHOSPHATE	C10 H15 N2 O9 P
T	85	THYMIDINE-5'-MONOPHOSPHATE	C10 H15 N2 O8 P
NO2	82	NITRITE ION	N O2 -1
SO3	81	SULFITE ION	O3 S -2
CSS	80	S-MERCAPTOCYSTEINE	C3 H7 N O2 S2
PGO	80	S-1,2-PROPANEDIOL	C3 H8 O2
HEZ	79	HEXANE-1,6-DIOL	C6 H14 O2
OGA	79	N-OXALYLGLYCINE	C4 H5 N O5
MVA	78	N-METHYLVALINE	C6 H13 N O2
VO4	77	VANADATE ION	O4 V -3
TAM	76	TRIS(HYDROXYETHYL)AMINOMETHANE	C7 H17 N O3
PMP	75	4'-DEOXY-4'-AMINOPYRIDOXAL-5'-PHOSPHATE	C8 H13 N2 O5 P
NLE	75	NORLEUCINE	C6 H13 N O2
DPR	75	D-PROLINE	C5 H9 N O2
F6P	75	FRUCTOSE-6-PHOSPHATE	C6 H13 O9 P
PEP	75	PHOSPHOENOLPYRUVATE	C3 H5 O6 P
OLC	75	(2R)-2,3-DIHYDROXYPROPYL (9Z)-OCTADEC-9-ENOATE	C21 H40 O4
DGL	74	D-GLUTAMIC ACID	C5 H9 N O4
HC4	74	4'-HYDROXYCINNAMIC ACID	C9 H8 O3
U5P	74	URIDINE-5'-MONOPHOSPHATE	C9 H13 N2 O9 P
DVA	73	D-VALINE	C5 H11 N O2
FDA	73	DIHYDROFLAVINE-ADENINE DINUCLEOTIDE	C27 H35 N9 O15 P2
CR2	73	{(4Z)-2-(AMINOMETHYL)-4-[(4-HYDROXYPHENYL)METHYLIDENE]-5-OXO-4,5-DIHYDRO-1H-IMIDAZOL-1-YL}ACETIC ACID	C13 H13 N3 O4
A3P	72	ADENOSINE-3'-5'-DIPHOSPHATE	C10 H15 N5 O10 P2
YB	72	YTTERBIUM (III) ION	YB 3
DPN	71	D-PHENYLALANINE	C9 H11 N O2
CAM	70	CAMPHOR	C10 H16 O
MLT	70	MALATE ION	C4 H5 O5 -1
XYS	70	XYLOPYRANOSE	C5 H10 O5
O	69	OXYGEN ATOM	O
DSN	69	D-SERINE	C3 H7 N O3
PHQ	69	FORMIC ACID BENZYL ESTER	C8 H8 O2
CUA	69	DINUCLEAR COPPER ION	CU2
SAR	69	SARCOSINE	C3 H7 N O2
DU	68	2'-DEOXYURIDINE-5'-MONOPHOSPHATE	C9 H13 N2 O8 P
IMP	68	INOSINIC ACID	C10 H13 N4 O8 P
IPH	67	PHENOL	C6 H6 O
DLE	67	D-LEUCINE	C6 H13 N O2
OLA	67	OLEIC ACID	C18 H34 O2
C5P	67	CYTIDINE-5'-MONOPHOSPHATE	C9 H14 N3 O8 P
OXL	66	OXALATE ION	C2 O4 -2
HIC	66	4-METHYL-HISTIDINE	C7 H11 N3 O2
B3P	66	2-[3-(2-HYDROXY-1,1-DIHYDROXYMETHYL-ETHYLAMINO)-PROPYLAMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	C11 H26 N2 O6
0QE	66	CHLOROMETHANE	C H3 CL
UPG	65	URIDINE-5'-DIPHOSPHATE-GLUCOSE	C15 H24 N2 O17 P2
B12	65	COBALAMIN	C62 H88 CO N13 O14 P
TYD	64	THYMIDINE-5'-DIPHOSPHATE	C10 H16 N2 O11 P2
CLA	64	CHLOROPHYLL A	C55 H72 MG N4 O5
NRQ	63	{(4Z)-4-(4-HYDROXYBENZYLIDENE)-2-[3-(METHYLTHIO)PROPANIMIDOYL]-5-OXO-4,5-DIHYDRO-1H-IMIDAZOL-1-YL}ACETIC ACID	C16 H17 N3 O4 S
GSP	62	5'-GUANOSINE-DIPHOSPHATE-MONOTHIOPHOSPHATE	C10 H16 N5 O13 P3 S
4SU	62	4-THIOURIDINE-5'-MONOPHOSPHATE	C9 H13 N2 O8 P S
ORO	62	OROTIC ACID	C5 H4 N2 O4
MLZ	62	N-METHYL-LYSINE	C7 H16 N2 O2
ORN	61	L-ORNITHINE	C5 H12 N2 O2
TMP	61	THYMIDINE-5'-PHOSPHATE	C10 H15 N2 O8 P
CHD	61	CHOLIC ACID	C24 H40 O5
UD1	61	URIDINE-DIPHOSPHATE-N-ACETYLGLUCOSAMINE	C17 H27 N3 O17 P2
3PG	60	3-PHOSPHOGLYCERIC ACID	C3 H7 O7 P
STU	60	STAUROSPORINE	C28 H26 N4 O3
H2S	60	HYDROSULFURIC ACID	H2 S
APR	60	ADENOSINE-5-DIPHOSPHORIBOSE	C15 H23 N5 O14 P2
TPQ	59	5-(2-CARBOXY-2-AMINOETHYL)-2-HYDROXY-1,4-BENZOQUINONE	C9 H9 N O5
CGU	59	GAMMA-CARBOXY-GLUTAMIC ACID	C6 H9 N O6
12P	59	DODECAETHYLENE GLYCOL	C24 H50 O13
MBO	58	MERCURIBENZOIC ACID	C7 H5 HG O2
LAT	58	BETA-LACTOSE	C12 H22 O11
CCC	58	CYTIDINE-5'-PHOSPHATE-2',3'-CYCLIC PHOSPHATE	C9 H13 N3 O10 P2
PEO	57	HYDROGEN PEROXIDE	H2 O2
BNG	57	B-NONYLGLUCOSIDE	C15 H30 O6
PAR	57	PAROMOMYCIN	C23 H45 N5 O14
MLE	57	N-METHYLLEUCINE	C7 H15 N O2
CPT	56	CISPLATIN	CL2 H6 N2 PT
CXM	56	N-CARBOXYMETHIONINE	C6 H11 N O4 S
MMA	56	O1-METHYL-MANNOSE	C7 H14 O6
FOL	56	FOLIC ACID	C19 H19 N7 O6
15P	56	POLYETHYLENE GLYCOL (N=34)	C69 H140 O35
DMU	56	DECYL-BETA-D-MALTOPYRANOSIDE	C22 H42 O11
C2E	56	9,9'-[(2R,3R,3AS,5S,7AR,9R,10R,10AS,12S,14AR)-3,5,10,12-TETRAHYDROXY-5,12-DIOXIDOOCTAHYDRO-2H,7H-DIFURO[3,2-D:3',2'-J][1,3,7,9,2,8]TETRAOXADIPHOSPHACYCLODODECINE-2,9-DIYL]BIS(2-AMINO-1,9-DIHYDRO-6H-PURIN-6-ONE)	C20 H24 N10 O14 P2
PGA	55	2-PHOSPHOGLYCOLIC ACID	C2 H5 O6 P
AU	55	GOLD ION	AU 1
AF3	54	ALUMINUM FLUORIDE	AL F3
MA6	54	6N-DIMETHYLADENOSINE-5'-MONOPHOSHATE	C12 H18 N5 O7 P
P33	54	3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL	C14 H30 O8
DUP	54	2'-DEOXYURIDINE 5'-ALPHA,BETA-IMIDO-TRIPHOSPHATE	C9 H16 N3 O13 P3
HTO	53	HEPTANE-1,2,3-TRIOL	C7 H16 O3
LI	53	LITHIUM ION	LI 1
YCM	53	S-(2-AMINO-2-OXOETHYL)-L-CYSTEINE	C5 H10 N2 O3 S
MPO	52	3[N-MORPHOLINO]PROPANE SULFONIC ACID	C7 H15 N O4 S
GAI	52	GUANIDINE	C H5 N3
4OC	52	4N,O2'-METHYLCYTIDINE-5'-MONOPHOSPHATE	C11 H18 N3 O8 P
MTX	51	METHOTREXATE	C20 H22 N8 O5
URE	51	UREA	C H4 N2 O
1PG	51	2-(2-{2-[2-(2-METHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHANOL	C11 H24 O6
FPP	51	FARNESYL DIPHOSPHATE	C15 H28 O7 P2
CXS	51	3-CYCLOHEXYL-1-PROPYLSULFONIC ACID	C9 H19 N O3 S
CYC	50	PHYCOCYANOBILIN	C33 H40 N4 O6
DAO	50	LAURIC ACID	C12 H24 O2
RAM	50	ALPHA-L-RHAMNOSE	C6 H12 O5
BMP	50	6-HYDROXYURIDINE-5'-PHOSPHATE	C9 H13 N2 O10 P
PPV	50	PYROPHOSPHATE	H4 O7 P2
MOH	49	METHANOL	C H4 O
CBI	49	CELLOBIOSE	C12 H22 O11
KDO	49	3-DEOXY-D-MANNO-OCT-2-ULOSONIC ACID	C8 H14 O8
SRT	49	S,R MESO-TARTARIC ACID	C4 H6 O6
IPE	49	3-METHYLBUT-3-ENYL TRIHYDROGEN DIPHOSPHATE	C5 H12 O7 P2
WO4	48	TUNGSTATE(VI)ION	O4 W -2
CAD	48	CACODYLIC ACID	C2 H7 AS O2
5BU	48	5-BROMO-URIDINE-5'-MONOPHOSPHATE	C9 H12 BR N2 O9 P
017	48	(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE	C27 H37 N3 O7 S
UTP	48	URIDINE 5'-TRIPHOSPHATE	C9 H15 N2 O15 P3
BCR	48	BETA-CAROTENE	C40 H56
DI	47	2'-DEOXYINOSINE-5'-MONOPHOSPHATE	C10 H13 N4 O7 P
BLA	47	BILIVERDINE IX ALPHA	C33 H34 N4 O6
PHB	47	P-HYDROXYBENZOIC ACID	C7 H6 O3
BU1	47	1,4-BUTANEDIOL	C4 H10 O2
DTR	47	D-TRYPTOPHAN	C11 H12 N2 O2
SRM	46	SIROHEME	C42 H42 FE N4 O16
SAC	46	N-ACETYL-SERINE	C5 H9 N O4
BCN	46	BICINE	C6 H13 N O4
AP5	45	BIS(ADENOSINE)-5'-PENTAPHOSPHATE	C20 H29 N10 O22 P5
PER	45	PEROXIDE ION	O2 -2
YG	45	WYBUTOSINE	C21 H29 N6 O12 P
GCP	44	PHOSPHOMETHYLPHOSPHONIC ACID GUANYLATE ESTER	C11 H18 N5 O13 P3
PB	44	LEAD (II) ION	PB 2
AIB	44	ALPHA-AMINOISOBUTYRIC ACID	C4 H9 N O2
IAS	44	BETA-L-ASPARTIC ACID	C4 H7 N O4
SPO	44	SPHEROIDENE	C41 H60 O
PRP	44	ALPHA-PHOSPHORIBOSYLPYROPHOSPHORIC ACID	C5 H13 O14 P3
TRE	44	TREHALOSE	C12 H22 O11
CDP	44	CYTIDINE-5'-DIPHOSPHATE	C9 H15 N3 O11 P2
OCT	43	N-OCTANE	C8 H18
SFG	43	SINEFUNGIN	C15 H23 N7 O5
SGN	43	N,O6-DISULFO-GLUCOSAMINE	C6 H13 N O11 S2
PG6	43	1-(2-METHOXY-ETHOXY)-2-{2-[2-(2-METHOXY-ETHOXY]-ETHOXY}-ETHANE	C12 H26 O6
DHT	43	5-ALPHA-DIHYDROTESTOSTERONE	C19 H30 O2
TDP	43	THIAMIN DIPHOSPHATE	C12 H18 N4 O7 P2 S
AZA	43	8-AZAXANTHINE	C4 H3 N5 O2
BMT	43	4-METHYL-4-[(E)-2-BUTENYL]-4,N-METHYL-THREONINE	C10 H19 N O3
HPA	42	HYPOXANTHINE	C5 H4 N4 O
OAA	42	OXALOACETATE ION	C4 H3 O5 -1
FEO	42	MU-OXO-DIIRON	FE2 O
DAR	42	D-ARGININE	C6 H15 N4 O2 1
DCY	42	D-CYSTEINE	C3 H7 N O2 S
IUM	41	URANYL (VI) ION	O2 U 2
HEA	41	HEME-A	C49 H56 FE N4 O6
